stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
207,,"CASINO",,49.116590,6.141350,,http://lemet.fr/screen/index2.php?stop=207,0,,1
332,,"CASTORS",,49.128455,6.145880,,http://lemet.fr/screen/index2.php?stop=332,0,,1
319,,"CASTORS",,49.128528,6.145790,,http://lemet.fr/screen/index2.php?stop=319,0,,1
5081,,"CEDRE BLEU",,49.033846,6.158180,,http://lemet.fr/screen/index2.php?stop=5081,0,,1
5082,,"CEDRE BLEU",,49.033781,6.158202,,http://lemet.fr/screen/index2.php?stop=5082,0,,1
609,,"CEDRES",,49.127402,6.211912,,http://lemet.fr/screen/index2.php?stop=609,0,,1
597,,"CEDRES",,49.127435,6.211657,,http://lemet.fr/screen/index2.php?stop=597,0,,1
626,,"CENTRALE",,49.155053,6.185996,,http://lemet.fr/screen/index2.php?stop=626,0,,2
618,,"CENTRALE",,49.154657,6.186342,,http://lemet.fr/screen/index2.php?stop=618,0,,2
6030,,"DOCTEUR CHARCOT",,49.148334,6.166976,,http://lemet.fr/screen/index2.php?stop=6030,0,,1
6035,,"DOCTEUR CHARCOT",,49.148333,6.166976,,http://lemet.fr/screen/index2.php?stop=6035,0,,1
660,,"CHAHURY",,49.117684,6.084856,,http://lemet.fr/screen/index2.php?stop=660,0,,2
313,,"CHAHURY",,49.118360,6.084331,,http://lemet.fr/screen/index2.php?stop=313,0,,2
209,,"CHAMBIERE",,49.128012,6.185589,,http://lemet.fr/screen/index2.php?stop=209,0,,2
208,,"CHAMBIERE",,49.127445,6.184454,,http://lemet.fr/screen/index2.php?stop=208,0,,2
5071,,"CHAMPAGNE",,49.041489,6.160633,,http://lemet.fr/screen/index2.php?stop=5071,0,,2
5073,,"CHAMPAGNE",,49.041291,6.160845,,http://lemet.fr/screen/index2.php?stop=5073,0,,2
809,,"CHAMP BANAL",,49.172679,6.045553,,http://lemet.fr/screen/index2.php?stop=809,0,,1
799,,"CHAMP BANAL",,49.173119,6.045314,,http://lemet.fr/screen/index2.php?stop=799,0,,1
791,,"CHANTRENNE",,49.144089,6.010451,,http://lemet.fr/screen/index2.php?stop=791,0,,1
723,,"CHAPELLE",,49.141719,6.115710,,http://lemet.fr/screen/index2.php?stop=723,0,,2
732,,"CHAPELLE",,49.141710,6.115170,,http://lemet.fr/screen/index2.php?stop=732,0,,2
855,,"CHAPITRE",,49.152114,6.161439,,http://lemet.fr/screen/index2.php?stop=855,0,,2
741,,"CHAPITRE",,49.152099,6.161795,,http://lemet.fr/screen/index2.php?stop=741,0,,2
529,,"CHAPPE",,49.107270,6.220800,,http://lemet.fr/screen/index2.php?stop=529,0,,2
567,,"CHAPPE",,49.107078,6.222231,,http://lemet.fr/screen/index2.php?stop=567,0,,1
573,,"CHAPPE",,49.106646,6.221859,,http://lemet.fr/screen/index2.php?stop=573,0,,1
452,,"DE CHARDIN",,49.144521,6.171863,,http://lemet.fr/screen/index2.php?stop=452,0,,1
449,,"DE CHARDIN",,49.144072,6.172134,,http://lemet.fr/screen/index2.php?stop=449,0,,1
318,,"CHATEL-SAINT-GERMAIN",,49.124869,6.078875,,http://lemet.fr/screen/index2.php?stop=318,0,,1
316,,"CHATEL-ST-GERMAIN",,49.124708,6.079168,,http://lemet.fr/screen/index2.php?stop=316,0,,1
3003,,"CHATRIAN",,49.103365,6.148971,,http://lemet.fr/screen/index2.php?stop=3003,0,,1
3014,,"CHATRIAN",,49.103241,6.148767,,http://lemet.fr/screen/index2.php?stop=3014,0,,1
749,,"LES CHAULMES",,49.133547,6.276049,,http://lemet.fr/screen/index2.php?stop=749,0,,2
756,,"LES CHAULMES",,49.134059,6.275862,,http://lemet.fr/screen/index2.php?stop=756,0,,2
5068,,"LE CHAVEAU",,49.032045,6.150858,,http://lemet.fr/screen/index2.php?stop=5068,0,,2
5076,,"LE CHAVEAU",,49.032098,6.150974,,http://lemet.fr/screen/index2.php?stop=5076,0,,2
657,,"CHEMIN DES DAMES",,49.117186,6.087779,,http://lemet.fr/screen/index2.php?stop=657,0,,2
661,,"CHEMIN DES DAMES",,49.116909,6.088335,,http://lemet.fr/screen/index2.php?stop=661,0,,2
813,,"CHENEAU",,49.108874,6.120753,,http://lemet.fr/screen/index2.php?stop=813,0,,2
812,,"CHENEAU",,49.108911,6.120849,,http://lemet.fr/screen/index2.php?stop=812,0,,2
624,,"CHENEVIERES",,49.165758,6.189607,,http://lemet.fr/screen/index2.php?stop=624,0,,2
620,,"CHENEVIERES",,49.165848,6.189651,,http://lemet.fr/screen/index2.php?stop=620,0,,2
849,,"CHEMIN NOIR",,49.114183,6.097958,,http://lemet.fr/screen/index2.php?stop=849,0,,2
848,,"CHEMIN NOIR",,49.114174,6.098110,,http://lemet.fr/screen/index2.php?stop=848,0,,2
991,,"CHESNY MAIRIE",,49.054562,6.242312,,http://lemet.fr/screen/index2.php?stop=991,0,,1
992,,"CHESNY MAIRIE",,49.054713,6.243258,,http://lemet.fr/screen/index2.php?stop=992,0,,2
776,,"CHEVRE HAIE",,49.054793,6.187605,,http://lemet.fr/screen/index2.php?stop=776,0,,1
777,,"CHEVRE HAIE",,49.054793,6.187367,,http://lemet.fr/screen/index2.php?stop=777,0,,1
962,,"CHEVROTTES",,49.092723,6.274342,,http://lemet.fr/screen/index2.php?stop=962,0,,1
961,,"CHEVROTTES",,49.092687,6.274646,,http://lemet.fr/screen/index2.php?stop=961,0,,1
